id,site,block,collector,date,order,family,tribe
68,D9,S3,B,6.4.19,Diptera,Dolichopodidae,
69,D7,S2,B,6.26.19,Diptera,Drosophilidae,
70,D7,S3,B,6.26.19,Diptera,Drosophilidae,
71,D7,S1,B,6.26.19,Diptera,Faniidae,
72,D8,S4,B,6.12.19,Diptera,Heliomyzidae,
73,D8,S4,B,6.12.19,Diptera,Heliomyzidae,
74,D9,S5,B,6.4.19,Diptera,Heliomyzidae,
75,D10,S2,B,6.17.19,Diptera,Muscidae,
76,D10,S3,B,6.17.19,Diptera,Muscidae,
77,D10,S4,B,6.17.19,Diptera,Muscidae,
78,D10,S4,B,6.17.19,Diptera,Muscidae,
79,D10,S4,B,6.17.19,Diptera,Muscidae,
80,D10,S4,B,6.17.19,Diptera,Muscidae,
81,D10,S4,B,6.17.19,Diptera,Muscidae,
82,D7,S1,B,6.26.19,Diptera,Muscidae,
83,D7,S1,B,6.26.19,Diptera,Muscidae,
84,D7,S1,B,6.26.19,Diptera,Muscidae,
85,D7,S2,B,6.26.19,Diptera,Muscidae,
86,D7,S3,B,6.26.19,Diptera,Muscidae,
87,D7,S4,B,6.26.19,Diptera,Muscidae,
88,D8,S2,B,6.12.19,Diptera,Muscidae,
89,D8,S2,B,6.12.19,Diptera,Muscidae,
90,D8,S2,B,6.12.19,Diptera,Muscidae,
91,D8,S3,B,6.12.19,Diptera,Muscidae,
92,D9,S1,B,6.4.19,Diptera,Muscidae,
93,D9,S5,B,6.4.19,Diptera,Muscidae,
94,D9,S5,B,6.4.19,Diptera,Muscidae,
95,D9,S5,B,6.4.19,Diptera,Muscidae,
96,D9,S5,B,6.4.19,Diptera,Muscidae,
97,D9,S5,B,6.4.19,Diptera,Muscidae,
98,D9,S5,B,6.4.19,Diptera,Muscidae,
99,D7,S2,B,6.26.19,Diptera,Sarcophagidae,
100,D8,S1,B,6.12.19,Diptera,Sarcophagidae,
101,D8,S3,B,6.12.19,Diptera,Sarcophagidae,
102,D8,S4,B,6.12.19,Diptera,Sarcophagidae,
103,D9,S1,B,6.4.19,Diptera,Sarcophagidae,
104,D9,S2,B,6.4.19,Diptera,Sciaridae,
105,D10,S2,B,6.17.19,Diptera,Syrphidae,
106,D10,S3,B,6.17.19,Diptera,Syrphidae,
107,D10,S4,B,6.17.19,Diptera,Syrphidae,
108,D10,S4,B,6.17.19,Diptera,Syrphidae,
109,D7,S5,B,6.26.19,Diptera,Syrphidae,
110,D10,S2,B,6.17.19,Diptera,Ulidiidae,
111,D7,S2,B,6.26.19,Diptera,Ulidiidae,
112,D7,S4,B,6.26.19,Diptera,Ulidiidae,
113,D8,S4,B,6.12.19,Diptera,Ulidiidae,
114,D9,S1,B,6.4.19,Diptera,Ulidiidae,
115,D10,S3,B,6.17.19,Diptera,Xylophagidae,
116,D10,S1,B,6.17.19,Hemiptera,Aphididae,
117,D8,S1,B,6.12.19,Hemiptera,Aphididae,
118,D9,S1,B,6.4.19,Hemiptera,Aphididae,
119,D10,S1,B,6.17.19,Hemiptera,Cicadellidae,
120,D10,S3,B,6.17.19,Hemiptera,Cicadellidae,
121,D8,S1,B,6.12.19,Hemiptera,Cicadellidae,
122,D8,S4,B,6.12.19,Hemiptera,Cicadellidae,
123,D8,S4,B,6.12.19,Hemiptera,Cicadellidae,
124,D9,S3,B,6.4.19,Hemiptera,Cicadellidae,
125,D7,S5,B,6.26.19,Hemiptera,Coreidae,
126,D8,S1,B,6.12.19,Hemiptera,Miridae,
127,D8,S1,B,6.12.19,Hemiptera,Miridae,
128,D9,S1,B,6.4.19,Hemiptera,Miridae,
129,D9,S2,B,6.4.19,Hemiptera,Miridae,
130,D9,S2,B,6.4.19,Hemiptera,Miridae,
131,D9,S3,B,6.4.19,Hemiptera,Miridae,
132,D9,S3,B,6.4.19,Hemiptera,Miridae,
133,D9,S3,B,6.4.19,Hemiptera,Miridae,
134,D9,S5,B,6.4.19,Hemiptera,Miridae,
135,D9,S5,B,6.4.19,Hemiptera,Miridae,
136,D9,S5,B,6.4.19,Hemiptera,Miridae,
137,D10,S1,B,6.17.19,Hemiptera,Psyllidae,
138,D10,S2,B,6.17.19,Hemiptera,Psyllidae,
139,D10,S2,B,6.17.19,Hemiptera,Psyllidae,
140,D10,S2,B,6.17.19,Hemiptera,Psyllidae,
141,D7,S2,B,6.26.19,Hemiptera,Psyllidae,
142,D8,S4,B,6.12.19,Hemiptera,Psyllidae,
143,D8,S4,B,6.12.19,Hemiptera,Psyllidae,
144,D8,S4,B,6.12.19,Hymenoptera,Apidae,
145,D10,S3,B,6.17.19,Hymenoptera,Braconidae,
146,D10,S3,B,6.17.19,Hymenoptera,Braconidae,
147,D10,S3,B,6.17.19,Hymenoptera,Braconidae,
148,D10,S3,B,6.17.19,Hymenoptera,Encyrtidae,
149,D10,S1,B,6.17.19,Hymenoptera,Eulophidae,
150,D10,S1,B,6.17.19,Hymenoptera,Formicidae,
151,D10,S2,B,6.17.19,Hymenoptera,Formicidae,
152,D10,S2,B,6.17.19,Hymenoptera,Formicidae,
153,D7,S2,B,6.26.19,Hymenoptera,Formicidae,
154,D8,S1,B,6.12.19,Hymenoptera,Formicidae,
155,D8,S2,B,6.12.19,Hymenoptera,Formicidae,
156,D9,S1,B,6.4.19,Hymenoptera,Formicidae,
157,D9,S1,B,6.4.19,Hymenoptera,Formicidae,
158,D9,S2,B,6.4.19,Hymenoptera,Formicidae,
159,D9,S3,B,6.4.19,Hymenoptera,Formicidae,
160,D7,S3,B,6.26.19,Hymenoptera,Ichneumonidae,
161,D7,S3,B,6.26.19,Hymenoptera,Ichneumonidae,
162,D8,S5,B,6.12.19,Hymenoptera,Ichneumonidae,
163,D9,S5,B,6.4.19,Lepidoptera,Lycanidae,
164,D8,S3,B,6.12.19,Lepidoptera,Noctuidae,
165,D9,S2,B,6.4.19,Lepidoptera,Noctuidae,
166,D7,S3,B,6.26.19,Neuroptera,Hemerobiidae,
167,D8,S1,B,6.12.19,Orthoptera,Tettigoniidae,
168,D8,S2,A,6.12.19,Coleoptera,Chrysomelidae,
169,D9,S2,A,6.4.19,Coleoptera,Coccinellidae,
170,D9,S3,A,6.4.19,Diptera,Aulacigastridae,
171,D7,S1,A,6.26.19,Diptera,Calliphoridae,
172,D7,S1,A,6.26.19,Diptera,Calliphoridae,
173,D7,S2,A,6.26.19,Diptera,Calliphoridae,
174,D7,S2,A,6.26.19,Diptera,Calliphoridae,
175,D7,S2,A,6.26.19,Diptera,Calliphoridae,
176,D7,S2,A,6.26.19,Diptera,Calliphoridae,
177,D7,S3,A,6.26.19,Diptera,Calliphoridae,
178,D7,S3,A,6.26.19,Diptera,Calliphoridae,
179,D7,S5,A,6.26.19,Diptera,Calliphoridae,
180,D7,S5,A,6.26.19,Diptera,Calliphoridae,
181,D8,S1,A,6.12.19,Diptera,Calliphoridae,
182,D8,S1,A,6.12.19,Diptera,Calliphoridae,
183,D8,S5,A,6.12.19,Diptera,Calliphoridae,
184,D8,S5,A,6.12.19,Diptera,Calliphoridae,
185,D9,S2,A,6.4.19,Diptera,Calliphoridae,
186,D9,S2,A,6.4.19,Diptera,Calliphoridae,
187,D9,S2,A,6.4.19,Diptera,Calliphoridae,
188,D9,S2,A,6.4.19,Diptera,Calliphoridae,
189,D10,S4,A,6.17.19,Diptera,Chamaemyiidae,
190,D7,S4,A,6.26.19,Diptera,Chamaemyiidae,
191,D10,S1,A,6.17.19,Diptera,Chironomidae,
192,D7,S2,A,6.26.19,Diptera,Chironomidae,
193,D7,S4,A,6.26.19,Diptera,Chironomidae,
194,D10,S3,A,6.17.19,Diptera,Culicidae,
195,D10,S3,A,6.17.19,Diptera,Culicidae,
196,D10,S3,A,6.17.19,Diptera,Culicidae,
197,D10,S3,A,6.17.19,Diptera,Culicidae,
198,D10,S3,A,6.17.19,Diptera,Culicidae,
199,D10,S3,A,6.17.19,Diptera,Culicidae,
200,D10,S4,A,6.17.19,Diptera,Culicidae,
201,D8,S2,A,6.12.19,Diptera,Diastatidae,
202,D9,S1,A,6.4.19,Diptera,Diastatidae,
203,D10,S1,A,6.17.19,Diptera,Dolichopodidae,
204,D10,S2,A,6.17.19,Diptera,Dolichopodidae,
205,D10,S3,A,6.17.19,Diptera,Dolichopodidae,
206,D7,S1,A,6.26.19,Diptera,Dolichopodidae,
207,D7,S1,A,6.26.19,Diptera,Dolichopodidae,
208,D7,S3,A,6.26.19,Diptera,Dolichopodidae,
209,D7,S3,A,6.26.19,Diptera,Dolichopodidae,
210,D7,S5,A,6.26.19,Diptera,Dolichopodidae,
211,D8,S5,A,6.12.19,Diptera,Dolichopodidae,
212,D8,S5,A,6.17.19,Diptera,Dolichopodidae,
213,D9,S2,A,6.17.19,Diptera,Dolichopodidae,
214,D9,S3,A,6.4.19,Diptera,Dolichopodidae,
215,D9,S3,A,6.4.19,Diptera,Dolichopodidae,
216,D9,S5,A,6.4.19,Diptera,Dolichopodidae,
217,D10,S4,A,6.17.19,Diptera,Drosophilidae,
218,D7,S4,A,6.26.19,Diptera,Drosophilidae,
219,D9,S1,A,6.4.19,Diptera,Drosophilidae,
220,D7,S1,A,6.26.19,Diptera,Faniidae,
221,D7,S1,A,6.26.19,Diptera,Faniidae,
222,D8,S4,A,6.12.19,Diptera,Faniidae,
223,D8,S5,A,6.12.19,Diptera,Faniidae,
224,D10,S2,A,6.17.19,Diptera,Heliomyzidae,
225,D10,S2,A,6.17.19,Diptera,Heliomyzidae,
226,D10,S2,A,6.17.19,Diptera,Heliomyzidae,
227,D10,S3,A,6.17.19,Diptera,Heliomyzidae,
228,D10,S3,A,6.17.19,Diptera,Heliomyzidae,
229,D10,S3,A,6.17.19,Diptera,Heliomyzidae,
230,D10,S4,A,6.17.19,Diptera,Heliomyzidae,
231,D8,S5,A,6.12.19,Diptera,Heliomyzidae,
232,D8,S5,A,6.12.19,Diptera,Heliomyzidae,
233,D9,S3,A,6.4.19,Diptera,Heliomyzidae,
234,D8,S5,A,6.12.19,Diptera,Lauxaniidae,
235,D10,S2,A,6.17.19,Diptera,Muscidae,
236,D10,S3,A,6.17.19,Diptera,Muscidae,
237,D10,S3,A,6.17.19,Diptera,Muscidae,
238,D10,S3,A,6.17.19,Diptera,Muscidae,
239,D10,S3,A,6.17.19,Diptera,Muscidae,
240,D10,S4,A,6.17.19,Diptera,Muscidae,
241,D10,S4,A,6.17.19,Diptera,Muscidae,
242,D7,S1,A,6.26.19,Diptera,Muscidae,
243,D7,S1,A,6.26.19,Diptera,Muscidae,
244,D7,S1,A,6.26.19,Diptera,Muscidae,
245,D7,S1,A,6.26.19,Diptera,Muscidae,
246,D7,S2,A,6.26.19,Diptera,Muscidae,
247,D7,S3,A,6.26.19,Diptera,Muscidae,
248,D7,S3,A,6.26.19,Diptera,Muscidae,
249,D7,S3,A,6.26.19,Diptera,Muscidae,
250,D7,S3,A,6.26.19,Diptera,Muscidae,
251,D7,S3,A,6.26.19,Diptera,Muscidae,
252,D7,S4,A,6.26.19,Diptera,Muscidae,
253,D7,S4,A,6.26.19,Diptera,Muscidae,
254,D7,S4,A,6.26.19,Diptera,Muscidae,
255,D7,S4,A,6.26.19,Diptera,Muscidae,
256,D7,S4,A,6.26.19,Diptera,Muscidae,
257,D7,S5,A,6.26.19,Diptera,Muscidae,
258,D7,S5,A,6.26.19,Diptera,Muscidae,
259,D7,S5,A,6.26.19,Diptera,Muscidae,
260,D7,S5,A,6.26.19,Diptera,Muscidae,
261,D7,S5,A,6.26.19,Diptera,Muscidae,
262,D8,S1,A,6.12.19,Diptera,Muscidae,
263,D8,S2,A,6.12.19,Diptera,Muscidae,
264,D8,S3,A,6.12.19,Diptera,Muscidae,
265,D8,S3,A,6.12.19,Diptera,Muscidae,
266,D8,S5,A,6.12.19,Diptera,Muscidae,
267,D8,S5,A,6.12.19,Diptera,Muscidae,
268,D9,S2,A,6.4.19,Diptera,Muscidae,
269,D9,S2,A,6.4.19,Diptera,Muscidae,
270,D9,S2,A,6.4.19,Diptera,Muscidae,
271,D9,S3,A,6.4.19,Diptera,Muscidae,
272,D9,S3,A,6.4.19,Diptera,Muscidae,
273,D9,S5,A,6.4.19,Diptera,Muscidae,
274,D9,S2,A,6.4.19,Diptera,Phoridae,
275,D8,S5,A,6.12.19,Diptera,Piophilidae,
276,D7,S1,A,6.26.19,Diptera,Sarcophagidae,
277,D7,S2,A,6.26.19,Diptera,Sarcophagidae,
278,D8,S1,A,6.26.19,Diptera,Sarcophagidae,
279,D9,S2,A,6.4.19,Diptera,Sarcophagidae,
280,D9,S2,A,6.4.19,Diptera,Sarcophagidae,
281,D10,S4,A,6.17.19,Diptera,Sciaridae,
282,D10,S4,A,6.17.19,Diptera,Sciaridae,
283,D10,S3,A,6.17.19,Diptera,Syrphidae,
284,D10,S4,A,6.17.19,Diptera,Syrphidae,
285,D8,S3,A,6.12.19,Diptera,Syrphidae,
286,D8,S5,A,6.12.19,Diptera,Syrphidae,
287,D9,S2,A,6.4.19,Diptera,Syrphidae,
288,D10,S2,A,6.17.19,Diptera,Ulidiidae,
289,D10,S2,A,6.17.19,Diptera,Ulidiidae,
290,D10,S3,A,6.17.19,Diptera,Ulidiidae,
291,D10,S3,A,6.17.19,Diptera,Ulidiidae,
292,D7,S1,A,6.26.19,Diptera,Ulidiidae,
293,D7,S2,A,6.26.19,Diptera,Ulidiidae,
294,D7,S2,A,6.26.19,Diptera,Ulidiidae,
295,D7,S2,A,6.26.19,Diptera,Ulidiidae,
296,D7,S2,A,6.26.19,Diptera,Ulidiidae,
297,D7,S2,A,6.26.19,Diptera,Ulidiidae,
298,D7,S3,A,6.26.19,Diptera,Ulidiidae,
299,D7,S4,A,6.26.19,Diptera,Ulidiidae,
300,D7,S5,A,6.26.19,Diptera,Ulidiidae,
301,D7,S5,A,6.26.19,Diptera,Ulidiidae,
302,D7,S5,A,6.26.19,Diptera,Ulidiidae,
303,D8,S1,A,6.12.19,Diptera,Ulidiidae,
304,D8,S1,A,6.12.19,Diptera,Ulidiidae,
305,D8,S2,A,6.12.19,Diptera,Ulidiidae,
306,D8,S2,A,6.12.19,Diptera,Ulidiidae,
307,D8,S3,A,6.12.19,Diptera,Ulidiidae,
308,D8,S3,A,6.12.19,Diptera,Ulidiidae,
309,D8,S3,A,6.12.19,Diptera,Ulidiidae,
310,D8,S3,A,6.12.19,Diptera,Ulidiidae,
311,D8,S5,A,6.12.19,Diptera,Ulidiidae,
312,D9,S2,A,6.4.19,Diptera,Ulidiidae,
313,D9,S3,A,6.4.19,Diptera,Ulidiidae,
314,D9,S3,A,6.4.19,Diptera,Ulidiidae,
315,D9,S5,A,6.4.19,Diptera,Ulidiidae,
316,D10,S1,A,6.17.19,Hemiptera,Cicadellidae,
317,D10,S4,A,6.17.19,Hemiptera,Cicadellidae,
318,D10,S4,A,6.17.19,Hemiptera,Cicadellidae,
319,D7,S2,A,6.26.19,Hemiptera,Cicadellidae,
320,D7,S2,A,6.26.19,Hemiptera,Cicadellidae,
321,D7,S2,A,6.26.19,Hemiptera,Cicadellidae,
322,D8,S1,A,6.12.19,Hemiptera,Cicadellidae,
323,D8,S5,A,6.12.19,Hemiptera,Cicadellidae,
324,D8,S5,A,6.12.19,Hemiptera,Cicadellidae,
325,D9,S2,A,6.4.19,Hemiptera,Cicadellidae,
326,D10,S1,A,6.17.19,Hemiptera,Miridae,
327,D10,S1,A,6.17.19,Hemiptera,Miridae,
328,D10,S1,A,6.17.19,Hemiptera,Miridae,
329,D7,S2,A,6.26.19,Hemiptera,Miridae,
330,D7,S2,A,6.26.19,Hemiptera,Miridae,
331,D7,S2,A,6.26.19,Hemiptera,Miridae,
332,D7,S2,A,6.26.19,Hemiptera,Miridae,
333,D7,S2,A,6.26.19,Hemiptera,Miridae,
334,D7,S2,A,6.26.19,Hemiptera,Miridae,
335,D7,S2,A,6.26.19,Hemiptera,Miridae,
336,D8,S4,A,6.12.19,Hemiptera,Miridae,
337,D9,S2,A,6.4.19,Hemiptera,Miridae,
338,D10,S1,A,6.17.19,Hemiptera,Psyllidae,
339,D10,S1,A,6.17.19,Hemiptera,Psyllidae,
340,D10,S1,A,6.17.19,Hemiptera,Psyllidae,
341,D10,S1,A,6.17.19,Hemiptera,Psyllidae,
342,D10,S2,A,6.17.19,Hemiptera,Psyllidae,
343,D10,S2,A,6.17.19,Hemiptera,Psyllidae,
344,D10,S2,A,6.17.19,Hemiptera,Psyllidae,
345,D10,S2,A,6.17.19,Hemiptera,Psyllidae,
346,D10,S3,A,6.17.19,Hemiptera,Psyllidae,
347,D10,S3,A,6.17.19,Hemiptera,Psyllidae,
348,D10,S3,A,6.17.19,Hemiptera,Psyllidae,
349,D10,S3,A,6.17.19,Hemiptera,Psyllidae,
350,D7,S1,A,6.26.19,Hemiptera,Psyllidae,
351,D7,S2,A,6.26.19,Hemiptera,Psyllidae,
352,D8,S1,A,6.12.19,Hemiptera,Psyllidae,
353,D8,S1,A,6.12.19,Hemiptera,Psyllidae,
354,D8,S1,A,6.12.19,Hemiptera,Psyllidae,
355,D8,S1,A,6.12.19,Hemiptera,Psyllidae,
356,D8,S2,A,6.12.19,Hemiptera,Psyllidae,
357,D8,S3,A,6.12.19,Hemiptera,Psyllidae,
358,D8,S3,A,6.12.19,Hemiptera,Psyllidae,
359,D8,S3,A,6.12.19,Hemiptera,Psyllidae,
360,D8,S4,A,6.12.19,Hemiptera,Psyllidae,
361,D8,S4,A,6.12.19,Hemiptera,Psyllidae,
362,D8,S4,A,6.12.19,Hemiptera,Psyllidae,
363,D8,S4,A,6.12.19,Hemiptera,Psyllidae,
364,D8,S4,A,6.12.19,Hemiptera,Psyllidae,
365,D8,S4,A,6.12.19,Hemiptera,Psyllidae,
366,D8,S4,A,6.12.19,Hemiptera,Psyllidae,
367,D8,S5,A,6.12.19,Hemiptera,Psyllidae,
368,D10,S1,A,6.17.19,Hymenoptera,Braconidae,
369,D10,S4,A,6.17.19,Hymenoptera,Braconidae,
370,D10,S4,A,6.17.19,Hymenoptera,Braconidae,
371,D10,S4,A,6.17.19,Hymenoptera,Braconidae,
372,D10,S4,A,6.17.19,Hymenoptera,Braconidae,
373,D10,S4,A,6.17.19,Hymenoptera,Braconidae,
374,D10,S4,A,6.17.19,Hymenoptera,Braconidae,
375,D7,S2,A,6.26.19,Hymenoptera,Braconidae,Aphidiinae
376,D9,S2,A,6.4.19,Hymenoptera,Braconidae,Aphidiinae
377,D7,S1,A,6.26.19,Hymenoptera,Chrysididae,
378,D10,S1,A,6.17.19,Hymenoptera,Encyrtidae,
379,D10,S1,A,6.17.19,Hymenoptera,Formicidae,
380,D10,S3,A,6.17.19,Hymenoptera,Formicidae,
381,D10,S3,A,6.17.19,Hymenoptera,Formicidae,
382,D10,S3,A,6.17.19,Hymenoptera,Formicidae,
383,D10,S3,A,6.17.19,Hymenoptera,Formicidae,
384,D7,S1,A,6.26.19,Hymenoptera,Formicidae,
385,D7,S3,A,6.26.19,Hymenoptera,Formicidae,
386,D8,S3,A,6.12.19,Hymenoptera,Formicidae,
387,D8,S3,A,6.12.19,Hymenoptera,Formicidae,
388,D9,S1,A,6.4.19,Hymenoptera,Formicidae,
389,D9,S1,A,6.4.19,Hymenoptera,Formicidae,
390,D9,S1,A,6.4.19,Hymenoptera,Formicidae,
391,D9,S1,A,6.4.19,Hymenoptera,Formicidae,
392,D9,S3,A,6.4.19,Hymenoptera,Formicidae,
393,D9,S4,A,6.4.19,Hymenoptera,Formicidae,
394,D7,S1,A,6.26.19,Hymenoptera,Halictidae,
395,D7,S2,A,6.26.19,Hymenoptera,Halictidae,
396,D7,S3,A,6.26.19,Hymenoptera,Halictidae,
397,D7,S3,A,6.26.19,Hymenoptera,Halictidae,
398,D7,S5,A,6.26.19,Hymenoptera,Halictidae,
399,D8,S1,A,6.12.19,Hymenoptera,Halictidae,
400,D10,S3,A,6.17.19,Hymenoptera,Ichneumonidae,
401,D7,S3,A,6.26.19,Hymenoptera,Ichneumonidae,
402,D9,S2,A,6.4.19,Hymenoptera,Ichneumonidae,
403,D9,S3,A,6.4.19,Hymenoptera,Ichneumonidae,
404,D7,S5,A,6.26.19,Hymenoptera,Sphecidae,
405,D9,S2,A,6.4.19,Hymenoptera,Vespidae,
406,D7,S2,A,6.26.19,Lepidoptera,Noctuidae,
407,D7,S5,A,6.26.19,Lepidoptera,Noctuidae,
408,D8,S3,A,6.12.19,Lepidoptera,Noctuidae,
409,D9,S3,A,6.4.19,Neuroptera,Hemerobiidae,
410,D10,S2,A,6.17.19,Orthoptera,Tettigoniidae,
411,D9,S3,A,6.17.19,Diptera,Dolichopodidae,
412,D9,S5,A,6.4.19,Diptera,Dolichopodidae,
413,D9,S5,A,6.4.19,Hemiptera,Cicadellidae,
